n_original,dia,tto,tto_numero,Label,area,int_fak,int_dnapk,int_gammah2ax,fak_bc_mean,dnapk_b_meanc,gammah2ax_bc_mean,ctcf_fak,ctcf_fak_bar,ctcf_dnapk,ctcf_dnapk_bar,ctcf_gammah2ax,ctcf_gammah2ax_bar
1,dia 1,controle,1,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment-1.czifak:nucleo0,230.181,563792.632,752292.361,507109.666,131.3176667,725.407,79.22133333,533565.8002,533565.8002,585317.4523,585317.4523,488874.4203,488874.4203
2,dia 1,controle,2,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment-1.czifak:nucleo1,299.686,743048.72,1111058.614,1207413.504,131.3176667,725.407,79.22133333,703694.6537,703694.6537,893664.2918,893664.2918,1183671.979,1183671.979
16,dia 1,controle,3,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment-1.czifak:nucleo0,251.691,3870670.068,616662.786,2850665.365,657.9,304.1783333,157.4756667,3705082.559,3705082.559,540103.8371,540103.8371,2811030.157,2811030.157
17,dia 1,controle,4,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment-1.czifak:nucleo1,217.536,3180739.995,573094.892,658361.869,657.9,304.1783333,157.4756667,3037623.061,3037623.061,506925.1541,506925.1541,624105.2424,624105.2424
18,dia 1,controle,5,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment-1.czifak:nucleo2,221.213,2799763.454,607421.021,567335.737,657.9,304.1783333,157.4756667,2654227.421,2654227.421,540132.8193,540132.8193,532500.0723,532500.0723
19,dia 1,controle,6,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment-1.czifak:nucleo3,221.176,3327783.366,688887.905,995024.807,657.9,304.1783333,157.4756667,3182271.676,3182271.676,621610.9579,621610.9579,960194.9689,960194.9689
37,dia 1,controle,7,(12)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment-1.czifak:nucleo0,259.11,1885470.792,1005958.181,1964298.767,556.633,445.742,216.4253333,1741241.615,1741241.615,890461.9714,890461.9714,1908220.799,1908220.799
38,dia 1,controle,8,(12)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment-1.czifak:nucleo1,267.802,2048948.309,1012026.63,974081.734,556.633,445.742,216.4253333,1899880.878,1899880.878,892656.0309,892656.0309,916122.5969,916122.5969
39,dia 1,controle,9,(12)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment-1.czifak:nucleo2,327.145,2305775.885,1389876.123,2732009.94,556.633,445.742,216.4253333,2123676.182,2123676.182,1244053.856,1244053.856,2661207.474,2661207.474
56,dia 1,controle,10,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment-1.czifak:nucleo1,193.986,555947.513,668133.889,120326.717,225.0046667,408.7773333,44.73666667,512299.7577,512299.7577,588836.8092,588836.8092,111648.43,111648.43
57,dia 1,controle,11,(14)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment-1.czifak:nucleo2,221.313,670588.568,628196.199,422000.168,225.0046667,408.7773333,44.73666667,620792.1102,620792.1102,537728.461,537728.461,412099.3621,412099.3621
72,dia 1,controle,12,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo0,192.499,1069503.582,422781.099,58905.713,260.3506667,286.174,15.009,1019386.339,1019386.339,367692.8902,367692.8902,56016.49551,56016.49551
73,dia 1,controle,13,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo1,299.555,1848434.079,855333.996,76256.191,260.3506667,286.174,15.009,1770444.735,1770444.735,769609.1434,769609.1434,71760.17001,71760.17001
