 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
1	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	True	-0.045	0.861	0.715	651	1718	0.146	0.116	-7.447	3.077E-26	1.000	217.134	30.471	48.025	4.686	1
2	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus	Otsu	Otsu	True	-0.035	0.908	0.723	606	3681	0.020	0.207	-4.653	2.357E-11	1.000	120.564	23.776	2.264	0.472	1
3	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus	Otsu	Otsu	True	-0.034	0.886	0.693	882	1165	0.222	0.151	-5.629	8.523E-16	1.000	245.465	41.544	64.058	9.367	1
4	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	True	-0.051	0.975	0.973	1746	1345	0.266	0.160	-11.441	3.498E-59	1.000	529.962	99.710	171.199	27.548	1
5	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	True	0.021	0.985	0.953	315	1895	0.338	0.112	3.222	1.000	2.597E-6	283.754	31.205	95.197	10.524	1
6	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	True	-0.042	0.996	0.970	364	1980	0.325	0.137	-9.309	6.925E-40	1.000	422.116	65.792	165.962	22.496	1
7	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus	Otsu	Otsu	True	-0.054	0.975	0.965	355	1569	0.286	0.150	-9.550	7.238E-42	1.000	271.901	48.338	92.981	14.278	1
8	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	True	0.014	0.985	0.982	521	1038	0.434	0.192	0.467	0.745	0.255	198.077	38.059	86.505	16.427	1
9	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus	Otsu	Otsu	True	-0.086	0.986	0.979	942	914	0.211	0.132	-13.357	6.859E-80	1.000	242.481	43.909	75.287	9.750	1
10	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	True	-0.060	0.974	0.964	965	1150	0.330	0.104	-9.121	2.267E-38	1.000	219.287	27.434	89.998	9.063	1
11	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	True	-0.115	0.917	0.974	916	989	0.263	0.105	-19.497	1.179E-167	1.000	260.407	39.609	110.670	11.142	1
