 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
11	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.247	0.547	0.851	1771	2353	0.13	0.485	30.677	1	0	216.978	26.047	6.943	3.015	1
12	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	TRUE	0.206	0.72	0.875	2665	2076	0.189	0.361	6.674	1	1.90E-21	22.311	4.883	2.456	0.92	1
13	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.233	0.5	0.845	1371	2660	0.088	0.586	27.822	1	0	194.692	29.469	4.073	2.104	1
14	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.375	0.613	0.922	1941	4126	0.217	0.612	40.65	1	0	205.247	31.658	9.692	5.477	1
15	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	0.451	0.797	0.967	2990	4854	0.423	0.593	16.224	1	8.48E-117	27.781	6.1	4.386	2.464	1
16	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.225	0.55	0.893	1424	3280	0.099	0.546	24.115	1	3.30E-255	177.466	37.71	6.503	3.196	1
17	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.439	0.775	0.845	1992	3493	0.242	0.699	59.86	1	0	353.374	35.589	10.439	6.587	1
18	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	0.461	0.939	0.915	3022	5046	0.335	0.699	19.033	1	6.99E-160	36.838	9.94	4.729	3.162	1
19	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.208	0.716	0.799	1225	1305	0.17	0.4	37.177	1	0	316.537	54.722	24.018	8.524	1
20	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.457	0.62	0.858	3002	8552	0.328	0.64	63.399	1	0	318.253	23.189	11.367	6.7	1
