 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
11	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	TRUE	-0.031	0.409	0.881	1609	2353	0.024	0.199	-3.961	1.06E-08	1	216.978	55.358	6.943	1.402	1
12	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	TRUE	-0.042	0.514	0.831	1223	2076	0.102	0.301	-0.97	0.085	0.915	22.311	6.402	2.456	0.73	1
13	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.019	0.4	0.896	1609	2660	0.016	0.206	-2.647	9.08E-05	1	194.692	51.331	4.073	0.878	1
14	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.01	0.518	0.909	1664	4126	0.033	0.21	-2.928	1.73E-05	1	205.247	62.864	9.692	2.172	1
15	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	-0.211	0.613	0.877	1503	4854	0.073	0.18	-7.529	8.93E-27	1	27.781	10.358	4.386	0.834	1
16	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.048	0.503	0.929	1664	3280	0.04	0.308	3.43	1	6.17E-07	177.466	53.978	6.503	2.129	1
17	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.14	0.656	0.906	1476	3493	0.013	0.106	-25.055	2.70E-275	1	353.374	109.717	10.439	1.383	1
18	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	-0.27	0.817	0.779	979	5046	0.053	0.117	-9.399	1.30E-40	1	36.838	14.712	4.729	0.663	1
19	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.029	0.644	0.987	1540	1305	0.066	0.249	-5.78	1.49E-16	1	316.537	93.439	24.018	6.118	1
20	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	-0.078	0.43	0.824	1557	8552	0.018	0.144	-12.029	3.35E-65	1	318.253	92.465	11.367	1.68	1
21	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	-0.154	0.499	0.705	1193	10072	0.077	0.143	-5.663	5.82E-16	1	41.798	12.833	6.634	0.953	1
22	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.015	0.423	0.934	1698	5970	0.02	0.24	-2.247	7.44E-04	0.999	276.455	71.137	6.412	1.494	1
23	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus	Otsu	Otsu	TRUE	-0.094	0.447	0.836	1256	4702	0.031	0.152	-12.797	1.68E-73	1	344.144	95.405	19.579	2.955	1
24	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	combine	Otsu	Otsu	TRUE	-0.122	0.563	0.735	1003	5557	0.149	0.153	-6.265	4.02E-19	1	50.284	11.336	11.493	1.709	1
25	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.014	0.434	0.936	1381	3274	0.032	0.22	-2.174	0.001	0.999	293.86	72.608	10.817	2.286	1
26	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	-0.03	0.568	0.913	2164	2645	0.076	0.257	-6.009	9.61E-18	1	458.711	129.663	40.083	10.095	1
