 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
11	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.247	0.547	0.851	1771	2353	0.13	0.485	31.287	1	0	216.978	26.047	6.943	3.015	1
12	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	TRUE	0.206	0.72	0.875	2665	2076	0.189	0.361	6.522	1	1.43E-20	22.311	4.883	2.456	0.92	1
13	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.233	0.5	0.845	1371	2660	0.088	0.586	31.248	1	0	194.692	29.469	4.073	2.104	1
14	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.375	0.613	0.922	1941	4126	0.217	0.612	42.728	1	0	205.247	31.658	9.692	5.477	1
15	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	0.451	0.797	0.967	2990	4854	0.423	0.593	14.516	1	5.93E-94	27.781	6.1	4.386	2.464	1
16	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.225	0.55	0.893	1424	3280	0.099	0.546	25.978	1	8.95E-296	177.466	37.71	6.503	3.196	1
17	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.432	0.744	0.846	2052	5588	0.219	0.721	74.094	1	0	353.374	33.94	8.52	5.603	1
18	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	0.431	0.87	0.933	3152	7396	0.311	0.656	16.414	1	1.68E-119	36.142	9.296	4.487	2.801	1
19	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.272	0.698	0.795	1239	1963	0.19	0.431	41.976	1	0	317.232	54.496	22.547	8.769	1
20	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.461	0.605	0.86	2940	9066	0.349	0.638	54.271	1	0	318.253	22.768	11.905	6.977	1
