 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
11	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	TRUE	-0.043	0.868	0.741	1771	1609	0.181	0.093	-5.84	7.36E-17	1	216.978	26.047	55.358	5.061	1
12	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	TRUE	-0.163	0.803	0.715	2468	1342	0.145	0.081	-7.703	6.16E-28	1	35.995	6.145	10.822	0.934	1
13	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.005	0.893	0.746	1371	1704	0.213	0.144	0.642	0.818	0.182	181.222	27.273	42.709	5.999	1
14	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.024	0.903	0.829	1941	1664	0.281	0.154	1.43	0.978	0.022	205.247	31.658	62.864	9.7	1
15	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	-0.125	0.909	0.825	2741	1585	0.22	0.106	-7.871	4.43E-29	1	43.729	7.625	16.343	1.855	1
16	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.078	0.9	0.83	1424	1637	0.339	0.254	7.943	1	1.40E-29	161.558	34.433	48.99	12.166	1
17	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.128	0.886	0.721	2145	1423	0.178	0.065	-20.798	1.87E-190	1	353.374	32.635	113.643	7.118	1
18	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	-0.371	0.692	0.607	2975	1075	0.091	0.055	-22.069	3.88E-214	1	57.11	10.664	21.631	1.102	1
19	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.013	0.97	0.737	1271	1502	0.3	0.179	0.818	0.876	0.124	296.265	50.927	90.327	15.843	1
20	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	-0.1	0.838	0.627	3002	1557	0.133	0.038	-16.003	1.04E-113	1	318.253	23.189	92.465	3.598	1
