 	Label	Area	Mean	IntDen	RawIntDen	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
1	FAK	0.516	255	131.482	126480	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
2	FAK	0.245	255	62.560	60180	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
3	FAK	0.215	255	54.873	52785	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
4	FAK	0.850	255	216.840	208590	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
5	FAK	0.227	255	57.789	55590	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
6	FAK	0.290	255	73.959	71145	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
7	FAK	1.277	255	325.525	313140	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
8	FAK	0.388	255	98.877	95115	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
9	FAK	0.321	255	81.911	78795	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
10	FAK	0.280	255	71.308	68595	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
11	FAK	0.651	255	165.943	159630	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
12	FAK	0.941	255	239.902	230775	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
13	FAK	0.340	255	86.683	83385	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
14	FAK	0.428	255	109.215	105060	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
15	FAK	0.215	255	54.873	52785	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
16	FAK	0.252	255	64.151	61710	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
17	FAK	0.600	255	152.954	147135	0	0	0	0	0	0	0.000	0.000	0.000	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
18		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	True	-0.034	0.876	0.740	1726	1592	0.212	0.096	-4.032	5.906E-9	1.000	216.978	26.565	61.305	6.023	1
19		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	True	-0.103	0.847	0.717	2265	1465	0.194	0.104	-6.499	1.959E-20	1.000	49.404	7.855	15.610	1.662	1
