label	max_9000	sum_9000	tto
d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif	89	479	dox
d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif	51	278	dox
d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif	127	817	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif	574	1385	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif	104	487	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif	234	697	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif	114	524	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif	90	473	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif	57	386	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif	36	221	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif	25	243	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif	16	176	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif	325	870	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif	13	114	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif	6	84	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif	9	232	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif	49	279	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif	67	400	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif	54	263	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif	87	562	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif	37	390	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif	91	512	dox
d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(16).tif	41	314	dox
