label	max_9000	sum_9000	tto
doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif	568	1412	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(10).tif	328	1155	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(8).tif	341	1294	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif	251	1081	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(8).tif	170	565	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif	115	376	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(6).tif	26	307	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(8).tif	159	318	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(11).tif	70	387	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(10).tif	75	295	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(9).tif	128	319	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif	30	90	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(12).tif	52	134	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif	234	725	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(12).tif	144	475	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(14).tif	59	170	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(12).tif	77	395	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif	82	222	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif	137	782	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif	150	631	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif	86	520	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(10).tif	45	125	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif	22	251	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(9).tif	69	245	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(9).tif	28	125	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif	217	561	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif	153	518	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif	60	223	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(11).tif	101	268	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(11).tif	85	236	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif	126	621	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif	71	523	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(8).tif	5	110	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif	1	99	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(11).tif	456	1338	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(10).tif	232	1036	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(7).tif	227	739	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif	125	358	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(9).tif	130	847	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(9).tif	50	172	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif	71	362	dox
doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif	140	985	dox
