label	max_9000	sum_9000	tto
doxo 1 - dapi - pfak - gamma - 1_Out.czi_nucleo_0(6).tif	3	450	dox
doxo 1 - dapi - pfak - gamma - 2_Out.czi_nucleo_0(9).tif	1	261	dox
doxo 1 - dapi - pfak - gamma - 3_Out.czi_nucleo_0(11).tif	9	40	dox
doxo 1 - dapi - pfak - gamma - 4_Out.czi_nucleo_0(10).tif	7	176	dox
doxo 1 - dapi - pfak - gamma - 5_Out.czi_nucleo_0(8).tif	18	458	dox
doxo 2 - dapi - pfak - gamma - 1_Out.czi_nucleo_0(9).tif	1	172	dox
doxo 2 - dapi - pfak - gamma - 2_Out.czi_nucleo_0(7).tif	142	1127	dox
doxo 2 - dapi - pfak - gamma - 3_Out.czi_nucleo_0(10).tif	84	984	dox
doxo 2 - dapi - pfak - gamma - 4_Out.czi_nucleo_0(12).tif	74	327	dox
doxo 2 - dapi - pfak - gamma - 4_Out.czi_nucleo_1(12).tif	41	246	dox
doxo 2 - dapi - pfak - gamma - 5_Out.czi_nucleo_0(11).tif	32	235	dox
doxo 3 - dapi - pfak - gamma - 2_Out.czi_nucleo_0(11).tif	1	388	dox
doxo 3 - dapi - pfak - gamma - 3_Out.czi_nucleo_0(10).tif	1	148	dox
