 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	Skew	Kurt	RawIntDen	Group
1	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0001-0043	0.204	2866.633	1965	1772	5100	584.082	2633	0.729	-0.493	561860.000	2
2	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0002-0089	0.117	2779.805	1811	1794	5322	326.542	2548	0.956	0.371	314118.000	2
3	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0003-0098	0.609	4225.628	2323	1774	11858	2574.154	4003	0.931	1.195	2476218.000	2
4	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0004-0093	0.156	3255.033	1933	1790	6372	507.566	2995	0.846	-0.194	488255.000	2
5	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0005-0121	0.204	3123.592	1902	1809	7191	636.438	2800	1.270	1.295	612224.000	2
6	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0006-0151	0.282	3109.827	1854	1786	6445	876.095	2950	0.883	0.569	842763.000	2
7	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0007-0184	1.008	3808.799	2349	1771	12424	3840.656	3494	1.481	3.480	3694535.000	2
8	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0008-0196	0.289	2876.964	1895	1772	6334	831.428	2681	1.179	1.447	799796.000	2
9	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0009-0214	0.296	3710.291	2033	1785	9455	1099.255	3284	1.364	1.510	1057433.000	2
10	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0010-0214	0.150	3121.903	2289	1837	5662	467.334	3004	0.671	-0.345	449554.000	2
11	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0011-0248	0.203	2983.697	2178	1771	7460	604.832	2674	1.685	2.943	581821.000	2
12	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0012-0268	0.151	5108.462	2426	1795	13257	770.023	4684	0.976	0.361	740727.000	2
13	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0013-0280	0.180	3017.821	1828	1779	5418	542.732	2778	0.654	-0.614	522083.000	2
14	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0014-0312	0.143	3441.688	1924	1779	6313	493.738	3276	0.484	-0.616	474953.000	2
15	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0015-0334	1.136	4278.928	2289	1775	11962	4861.841	4016	0.879	0.702	4676868.000	2
16	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0016-0324	0.116	3320.821	1971	1797	6971	386.642	2922	1.084	0.477	371932.000	2
17	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0017-0328	0.154	3740.514	1774	1774	8282	575.491	3387	0.893	0.010	553596.000	2
18	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0018-0335	0.291	4511.804	2030	1832	14246	1313.270	3723	1.539	2.139	1263305.000	2
19	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0019-0349	0.104	2484.790	1805	1775	4325	258.307	2286	1.010	0.130	248479.000	2
20	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0020-0360	0.322	3851.581	2048	1771	12586	1241.213	3127	1.664	2.660	1193990.000	2
21	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0021-0374	0.102	3610.990	1799	1799	7938	367.873	2954	0.965	-0.205	353877.000	2
22	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0022-0399	0.623	3598.280	1794	1777	7958	2240.616	3284	0.894	0.177	2155370.000	2
23	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0023-0387	0.167	3470.106	1777	1775	7234	580.783	3228	0.854	0.333	558687.000	2
24	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0024-0422	0.926	4315.442	2844	1776	12316	3997.134	3695	1.237	1.149	3845059.000	2
25	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0025-0423	0.348	4105.561	2015	1779	10193	1429.760	3708	1.136	0.799	1375363.000	2
26	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0026-0435	0.128	3288.902	3643	1776	5383	420.535	3220	0.353	-0.687	404535.000	2
27	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0027-0436	0.121	2748.560	1785	1779	5123	331.443	2528	0.969	0.050	318833.000	2
28	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0028-0444	0.179	3807.715	1778	1778	9094	680.830	3131	1.045	0.008	654927.000	2
29	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0029-0463	0.399	4260.784	2699	1782	9682	1700.852	3948	0.721	-0.241	1636141.000	2
30	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0030-0465	0.128	3535.285	2039	1797	6702	452.038	3110	0.687	-0.593	434840.000	2
31	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0031-0472	0.156	3151.407	2913	1783	6245	491.407	2962	0.685	-0.181	472711.000	2
32	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0032-0500	0.175	3438.857	1771	1771	7961	600.578	2966	1.024	0.351	577728.000	2
33	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0033-0509	0.317	3140.141	2746	1774	9463	995.622	2746	2.114	5.327	957743.000	2
34	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0034-0525	0.102	2913.388	1970	1777	5763	296.804	2637	0.950	0.164	285512.000	2
35	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0035-0537	0.151	2710.979	1927	1785	5073	408.639	2488	1.097	0.488	393092.000	2
36	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0036-0538	0.108	3132.260	1841	1841	5233	338.639	3127	0.317	-0.842	325755.000	2
37	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0037-0539	0.151	4994.862	1772	1772	11017	752.900	4049	0.685	-0.814	724255.000	2
38	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0038-0548	0.110	3877.821	1905	1824	9601	427.306	3225	1.256	0.700	411049.000	2
39	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0039-0579	0.219	3506.038	1779	1771	7609	769.033	3094	0.781	-0.364	739774.000	2
40	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0040-0581	0.169	3391.736	1941	1780	6965	574.719	3304	0.832	0.364	552853.000	2
41	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14)-1.tif:0041-0599	0.473	3582.358	1874	1781	8414	1694.440	3197	1.038	0.570	1629973.000	2
42	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0001-0045	0.113	2844.872	2335	1948	5238	322.355	2655	1.119	0.875	310091.000	2
43	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0002-0054	0.111	2818.103	2868	1952	5116	313.463	2721	1.222	1.685	301537.000	2
44	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0003-0078	0.131	2888.190	2010	1949	4724	378.305	2716	0.809	-0.323	363912.000	2
45	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0004-0119	0.972	4560.035	2025	1945	12952	4432.263	4121	1.182	1.742	4263633.000	2
46	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0005-0116	0.254	3303.836	2088	1941	10223	838.019	2781	2.157	5.035	806136.000	2
47	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0006-0140	0.144	3529.827	2078	1947	9059	510.051	2871	1.624	2.026	490646.000	2
48	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0007-0152	0.135	3000.908	2932	1948	5271	405.547	2898	0.904	0.215	390118.000	2
49	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0008-0160	0.377	4830.477	1966	1945	11689	1822.814	4401	0.942	0.417	1753463.000	2
50	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0009-0167	0.102	2862.908	2092	2020	5515	291.662	2613	1.298	1.226	280565.000	2
51	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0010-0180	0.112	2697.269	2844	1862	4080	302.826	2644	0.467	-0.637	291305.000	2
52	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0011-0182	0.112	2922.046	2343	1945	5073	328.062	2664	0.947	-0.063	315581.000	2
53	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0012-0193	0.126	3513.240	2653	1985	7911	441.915	3002	1.178	0.519	425102.000	2
54	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0013-0195	0.125	3686.508	2734	1952	7722	459.877	3474	1.027	0.582	442381.000	2
55	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0014-0229	0.133	2917.078	1999	1946	5561	388.154	2701	1.086	0.561	373386.000	2
56	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0015-0229	0.194	2776.428	2214	1948	5560	539.726	2494	1.406	1.367	519192.000	2
57	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0016-0243	0.402	4197.388	2805	1946	10782	1688.635	3859	1.238	1.563	1624389.000	2
58	d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15)-1.tif:0017-0254	0.582	3707.775	1981	1950	10223	2158.475	3188	1.268	1.289	2076354.000	2
