 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
75	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.227	0.523	0.836	651	5851	0.113	0.433	27.009	1	0	217.134	30.471	7.277	2.996	1
76	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	0.074	1	0.888	1011	15738	0.171	0.285	0.959	0.912	0.088	7.099	1.719	1.175	0.301	1
77	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.215	0.484	0.795	630	1619	0.255	0.312	21.88	1	1.57E-210	210.035	28.944	22.204	6.538	1
78	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.153	0.528	0.846	606	5739	0.112	0.335	12.542	1	1.09E-70	120.564	23.776	6.974	2.523	1
79	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	combine	Otsu	Otsu	TRUE	-0.124	1	0.871	748	14558	0.104	0.168	-2.819	3.34E-05	1	6.872	1.916	1.279	0.227	1
80	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.2	0.48	0.817	588	1716	0.245	0.36	16.087	1	7.21E-115	113.692	22.145	14.046	4.962	1
81	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.12	0.543	0.8	882	10403	0.037	0.388	16.962	1	1.86E-127	245.465	41.544	4.028	1.474	1
82	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	combine	Otsu	Otsu	TRUE	0.165	1	0.88	1093	24359	0.336	0.372	3.018	1	9.87E-06	3.909	1.083	1.001	0.349	1
83	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.111	0.53	0.763	847	2454	0.145	0.287	16.024	1	5.32E-114	241.556	42.508	21.536	5.974	1
84	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.294	0.638	0.986	1746	7248	0.334	0.427	54.348	1	0	529.962	99.71	78.226	30.917	1
