 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
377	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.114	0.893	0.981	2122	9804	0.319	0.229	18.514	1	2.09E-151	415.083	71.189	104.526	23.37	1
378	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.043	1	0.985	2217	19019	0.261	0.228	1.728	0.993	0.007	103.95	21.616	25.273	5.727	1
379	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.077	0.848	0.974	2122	4000	0.423	0.179	7.261	1	4.87E-25	311.133	47.901	118.676	21.046	1
380	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.207	0.909	0.986	2141	10239	0.335	0.358	32.866	1	0	383.57	91.84	87.864	30.367	1
381	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.084	1	0.992	2470	20061	0.272	0.32	4.187	1	1.59E-09	87.327	24.073	20.784	6.496	1
382	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.17	0.871	0.979	2070	4082	0.483	0.283	22.279	1	3.51E-218	296.243	65.088	112.021	31.092	1
383	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.085	0.973	0.979	2825	11936	0.352	0.279	14.54	1	2.98E-94	374.42	90.099	116.936	32.141	1
384	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	combine	Otsu	Otsu	TRUE	0.041	1	0.982	2749	20702	0.297	0.312	2.602	1	1.17E-04	116.548	33.462	31.651	9.856	1
385	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.072	0.958	0.974	2684	5645	0.491	0.269	9.702	1	3.79E-43	257.872	62.967	117.589	31.433	1
386	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.393	0.904	0.989	1260	7535	0.43	0.484	67.31	1	0	370.747	74.075	70.888	31.196	1
387	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.264	1	0.996	1651	15823	0.344	0.462	13.571	1	2.17E-82	70.257	20.194	15.008	6.691	1
