Distance_(microns),gh2ax,dnapk,fak
0.00000,71.556,1738.444,304.903
0.03224,47.986,1627.208,283.028
0.06448,23.194,1390.750,239.431
0.09673,0.917,1183.347,199.722
0.12897,4.597,1111.778,195.292
0.16121,15.556,1207.736,203.181
0.19345,42.903,1436.861,220.097
0.22569,94.806,1640.083,206.056
0.25794,153.139,1668.681,174.431
0.29018,189.778,1499.069,176.750
0.32242,190.625,1225.514,208.514
0.35466,189.292,977.444,247.194
0.38690,200.625,843.278,285.625
0.41915,223.778,813.181,315.792
0.45139,259.222,810.417,357.917
0.48363,295.347,794.736,430.111
0.51587,369.486,754.917,518.847
0.54812,464.153,706.556,551.236
0.58036,569.514,667.931,494.889
0.61260,644.208,634.514,407.472
0.64484,652.514,592.306,351.319
0.67708,617.153,533.653,344.819
0.70933,588.944,452.944,352.681
0.74157,587.486,407.486,338.875
0.77381,619.750,497.708,306.319
0.80605,673.389,733.111,313.542
0.83829,734.597,1025.389,401.722
0.87054,812.083,1247.500,526.597
0.90278,911.028,1291.556,595.611
0.93502,1020.069,1184.931,602.569
0.96726,1112.458,1155.264,608.889
0.99950,1184.792,1474.708,652.347
1.03175,1279.208,2204.278,693.750
1.06399,1442.028,3044.806,687.486
1.09623,1629.889,3480.986,634.792
1.12847,1827.778,3197.528,567.889
1.16071,2043.861,2359.403,488.097
1.19296,2271.486,1435.653,394.194
1.22520,2437.847,805.917,318.708
1.25744,2530.528,554.556,293.194
1.28968,2488.569,497.903,319.542
1.32192,2308.097,445.458,372.764
1.35417,2036.403,368.958,446.819
1.38641,1741.069,311.528,513.694
1.41865,1506.306,308.167,552.431
1.45089,1352.764,366.694,549.153
1.48313,1233.333,436.458,506.639
1.51538,1112.861,480.833,446.625
1.54762,957.167,518.194,394.028
1.57986,751.861,559.097,358.792
1.61210,522.819,641.653,319.222
1.64435,396.361,809.181,290.292
1.67659,312.208,1042.944,311.944
1.70883,266.014,1264.458,365.417
1.74107,271.722,1393.319,388.375
1.77331,321.792,1418.556,354.653
1.80556,557.083,1392.458,296.694
1.83780,984.097,1380.861,262.472
1.87004,1421.667,1409.833,233.514
1.90228,1758.764,1459.458,197.903
1.93452,1960.292,1500.736,176.931
1.96677,2057.861,1518.306,203.639
1.99901,2056.903,1501.569,258.583
2.03125,1974.403,1434.486,299.847
2.06349,1856.264,1304.944,305.625
2.09573,1747.431,1125.181,277.042
2.12798,1675.111,953.514,243.403
2.16022,1607.125,836.208,235.639
2.19246,1501.486,773.125,246.611
2.22470,1363.250,747.611,259.514
2.25694,1246.389,740.556,263.556
2.28919,1189.764,737.208,259.694
