Distance_(microns),gh2ax,fak,dnapk
0.000000,3046.751,563.611,0.000
0.032242,2897.718,593.374,0.000
0.064484,3387.659,848.832,0.000
0.096726,4687.649,1257.590,0.000
0.128968,6405.935,1451.784,0.000
0.161210,7774.507,1185.563,2.468
0.193452,8117.072,763.835,559.554
0.225694,7498.279,689.099,1795.364
0.257937,6551.938,1063.240,2876.542
0.290179,5922.163,1462.135,3155.067
0.322421,5787.538,1465.376,2561.985
0.354663,5839.026,1118.012,1496.523
0.386905,5700.356,756.719,709.572
0.419147,5244.148,564.261,467.008
0.451389,4755.125,455.625,567.125
