Distance_(microns),dnapk,fak,gammah2ax
0,1397.984,142.359,0
0.032242,1349.685,135.45,0
0.064484,1411.255,212.99,0
0.096726,1491.812,387.216,0
0.128968,1592.98,562.54,395.528
0.16121,1666.484,728.099,1297.435
0.193452,1645.4,834.138,2526.686
0.225694,1589.248,994.119,4110.419
0.257937,1572.914,1321.842,6518.319
0.290179,1719.142,1840.267,10336.803
0.322421,2098.539,2305.211,15424.442
0.354663,2589.559,2403.409,20031.326
0.386905,3019.609,2026.027,23166.52
0.419147,2963.526,1353.63,22773.25
0.451389,2657.562,869.337,20361.137
0.483631,2291.5,542.562,17213.625
0.515873,2111.422,535.701,14735.481
0.548115,2144.879,864.765,13538.118
0.580357,2109.749,1439.317,12964.762
0.612599,1884.197,2006.948,12456.14
0.644841,1557.729,1995.646,11600.375
0.677083,1369.455,1426.117,11068.336
0.709325,1397.846,689.512,11165.37
0.741567,1532.723,233.367,12143.994
0.77381,1616.809,179.996,13436.116
0.806052,1646.474,267.612,13698.183
0.838294,1654.42,330.503,12644.983
0.870536,1664.311,472.669,10176.68
0.902778,1664.798,820.298,6936.404
0.93502,1623.318,1257.052,4177.358
0.967262,1516.852,1654.25,2193.375
