distancia,gh2ax,fak
0,61.667,244.667
0.032242,70.314,243.901
0.064484,134.782,294.714
0.096726,385.364,459.679
0.128968,715.824,687.314
0.16121,1052.789,831.791
0.193452,1276.62,788.1
0.225694,1428.245,750.168
0.257937,1526.141,874.469
0.290179,1695.469,1090.696
0.322421,1963.918,1246.544
0.354663,2652.332,1194.409
0.386905,3795.121,1027.932
0.419147,5325.548,818.096
0.451389,6629.208,642.047
0.483631,7225.491,475.934
0.515873,6634.688,527.833
0.548115,5302.336,731.975
0.580357,3970.666,1150.662
0.612599,3487.306,1495.031
0.644841,3536.428,1711.161
0.677083,3830.312,1595.839
0.709325,3689.807,1379.305
0.741567,2996.811,946.855
0.77381,2151.948,479.964
0.806052,1596.982,98.412
0.838294,1364.337,0
0.870536,1418.604,3.071
0.902778,1590.776,51.202
0.93502,1786.568,89.666
0.967262,1752.723,64.118
0.999504,1555.605,90.445
1.031746,1160.833,174.5
