Distance_(microns),gammah2ax,ku80,fak
0,1956.944,925.056,2208.819
0.032242,2995.235,1131.571,801.137
0.064484,4463.523,1176.879,365.796
0.096726,6366.182,1233.071,827.611
0.128968,8501.165,1348.326,2009.689
0.16121,10371.448,1421.054,3270.903
0.193452,11382.72,1373.073,3864.552
0.225694,11272.083,1231.194,3508.75
0.257937,10370.742,1076.774,2615.294
0.290179,9340.801,1009.787,2038.693
0.322421,8584.14,1111.998,2320.092
0.354663,7919.581,1324.979,3053.291
0.386905,6870.088,1414.28,3225.103
0.419147,5233.862,1208.46,2360.914
0.451389,3343.583,866.407,1158.787
0.483631,1775.115,732.625,714.449
0.515873,869.339,901.578,1294.969
0.548115,528.879,1090.325,2060.898
0.580357,422.057,1036.821,2041.388
0.612599,318.323,838.504,1252.921
0.644841,229.366,781.403,495.67
0.677083,284,951,281.167
