 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	RawIntDen	Group
1	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:nucleus:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	211.368	4609.158	0	0	30417	974227.119	3695	937161718.000	1
2	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:combine:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	8.160	2546.996	0	0	18800	20784.694	1416	19993920.000	4
3	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:nucleus without clusters:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	203.207	4691.971	0	0	30417	953442.426	3799	917167798.000	5
4	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	254.412	1426.538	0	0	10500	362929.002	1128	349121021.000	1
5	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:combine:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	13.079	1107.758	0	0	6923	14487.904	787	13936698.000	4
6	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus without clusters:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	241.334	1443.814	0	0	10500	348441.097	1148	335184323.000	5
7	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:nucleus:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	339.283	1045.028	0	0	9794	354560.482	782	341070890.000	1
8	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:combine:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	16.061	1010.799	0	0	7681	16234.497	701	15616840.000	4
9	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:nucleus without clusters:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	323.222	1046.728	0	0	9794	338325.985	785	325454050.000	5
10	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:nucleus:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	239.996	1313.631	0	0	10515	315266.008	977	303271412.000	1
11	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:combine:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	13.989	735.405	0	0	5531	10287.759	292	9896351.000	4
12	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:nucleus without clusters:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	226.007	1349.422	0	0	10515	304978.250	1022	293375061.000	5
13	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:nucleus:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	287.327	5534.136	0	0	41354	1590104.441	4197	1529607398.000	1
14	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:combine:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	21.551	3365.627	0	0	28537	72532.369	1814	69772806.000	4
15	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:nucleus without clusters:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	265.776	5709.973	0	0	41354	1517572.071	4438	1459834592.000	5
16	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:nucleus:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	237.428	6338.549	0	0	47396	1504950.231	5145	1447692962.000	1
17	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:combine:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	12.332	3435.273	0	0	25653	42364.439	1841	40752643.000	4
18	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:nucleus without clusters:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	225.096	6497.609	0	0	47396	1462585.793	5353	1406940319.000	5
19	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:nucleus:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	257.256	6512.005	0	0	42841	1675249.409	5238	1611512945.000	1
20	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:combine:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	13.608	3180.849	0	0	30166	43284.097	1032	41637312.000	4
21	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:nucleus without clusters:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	243.648	6698.050	0	0	42841	1631965.312	5478	1569875633.000	5
22	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:nucleus:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	445.773	6240.480	0	0	41490	2781836.595	5466	2675998964.000	1
23	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:combine:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	41.198	4136.744	0	0	30646	170427.387	2764	163943314.000	4
24	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:nucleus without clusters:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	404.574	6454.707	0	0	41490	2611409.208	5727	2512055650.000	5
25	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:nucleus:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	243.347	7531.286	0	0	54280	1832718.630	6302	1762991099.000	1
26	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:combine:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	15.735	3612.810	0	0	33321	56846.256	2113	54683486.000	4
27	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:nucleus without clusters:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	227.613	7802.166	0	0	54280	1775872.374	6640	1708307613.000	5
28	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif:nucleus:c:4/4 z:12/20 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Ou	234.859	1766.990	0	0	13035	414994.401	1473	399205543.000	1
