 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	RawIntDen	Group
1	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:nucleus:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	211.368	4609.158	0	0	30417	974227.119	3695	937161718.000	1
2	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:combine:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	12.409	2952.459	0	0	21375	36637.414	1837	35243509.000	4
3	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif:nucleus without clusters:c:4/4 z:14/26 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Ou	198.959	4712.487	0	0	30417	937589.705	3820	901918209.000	5
4	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	254.412	1426.538	0	0	10500	362929.002	1128	349121021.000	1
5	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:combine:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	18.407	1150.730	0	0	8128	21181.861	843	20375977.000	4
6	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus without clusters:c:4/4 z:17/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	236.005	1448.050	0	0	10500	341747.140	1152	328745044.000	5
7	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:nucleus:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	339.283	1045.028	0	0	9794	354560.482	782	341070890.000	1
8	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:combine:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	22.779	1060.478	0	0	7900	24156.234	758	23237187.000	4
9	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif:nucleus without clusters:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	316.505	1043.916	0	0	9794	330404.248	783	317833703.000	5
10	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:nucleus:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	239.996	1313.631	0	0	10515	315266.008	977	303271412.000	1
