index,index_original,tto,Label,Area,media bc fak,media bc ku80,media bc gh2ax,intden fak,intden ku80,intden gh2ax,RawIntDen fak,RawIntDen ku80,RawIntDen gh2ax,fak CTCF,Column1,ku80 CTCF,Column2,gh2ax CTCF,Column3
1,1,Dox 12 DMSO 12,(7)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment-1.czifak:nucleo0,207.132,283.6456667,189.8356667,156.5753333,1553841.911,2683542.377,1451750.425,1494724570,2581444546,1396517249,2624790.283,2624790.283,2644221.336,2644221.336,1419318.663,1419318.663
2,2,Dox 12 DMSO 12,(7)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment-1.czifak:nucleo1,236.601,283.6456667,189.8356667,156.5753333,1733442.114,2976072.06,1950587.938,1667491719,2862844669,1876376031,2908961.212,2908961.212,2931156.751,2931156.751,1913542.058,1913542.058
3,16,Dox 12 DMSO 12,(6)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment-1.czifak:nucleo0,322.51,410.803,160.8496667,113.2176667,6280991.476,6679510.933,14290778.79,6042025395,6425382813,13747073006,6547022.857,6547022.857,6627635.307,6627635.307,14254264.96,14254264.96
4,17,Dox 12 DMSO 12,(6)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment-1.czifak:nucleo1,190.378,410.803,160.8496667,113.2176667,2125731.921,2545051.388,757922.511,2044856500,2448222574,729086654,2466843.534,2466843.534,2514429.15,2514429.15,736368.3581,736368.3581
5,31,Dox 12 DMSO 12,(9)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo0,248.366,413.8413333,177.22,37.12266667,3036326.45,3896376.267,650222.337,2920806625,3748135058,625484032,3793592.15,3793592.15,3852360.844,3852360.844,641002.3288,641002.3288
6,32,Dox 12 DMSO 12,(9)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo1,324.047,413.8413333,177.22,37.12266667,4152977.744,5472558.745,1169058.049,3994973897,5264350228,1124580163,5338454.702,5338454.702,5415131.136,5415131.136,1157028.56,1157028.56
7,46,Dox 12 DMSO 12,(5)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment-1.czifak:nucleo0,268.786,463.3966667,174.1956667,395.4373333,2774949.551,3521319.807,1248025.334,2669374050,3387347965,1200543066,3396765.271,3396765.271,3474498.451,3474498.451,1141737.315,1141737.315
8,47,Dox 12 DMSO 12,(5)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment-1.czifak:nucleo1,377.896,463.3966667,174.1956667,395.4373333,6084890.699,6111019.499,6154847.163,5853385452,5878520157,5920680358,5935903.752,5935903.752,6045191.653,6045191.653,6005412.976,6005412.976
9,61,Dox 12 DMSO 12,(10)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo0,235.952,611.912,190.4943333,133.4306667,4735317.47,4178739.722,3133876.999,4555157974,4019755737,3014645774,4034357.862,4034357.862,4133792.203,4133792.203,3102393.766,3102393.766
10,62,Dox 12 DMSO 12,(10)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo1,231.127,611.912,190.4943333,133.4306667,4021582.375,3915021.084,1528833.902,3868577585,3766070516,1470668014,3773591.699,3773591.699,3870992.7,3870992.7,1497994.472,1497994.472
11,63,Dox 12 DMSO 12,(10)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-05_Out_Channel Alignment-1.czifak:nucleo2,325.189,611.912,190.4943333,133.4306667,5896013.812,5299092.955,2465147.692,5671694559,5097484103,2371358887,5100105.904,5100105.904,5237146.293,5237146.293,2421757.507,2421757.507
12,79,Dox 12 DMSO 12,(7)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-06_Out_Channel Alignment-1.czifak:nucleo0,274.334,235.084,244.5206667,16.932,2073612.171,9185388.373,431278.152,1994719694,8835921848,414869779,9120896.839,9120896.839,9118308.04,9118308.04,426633.1287,426633.1287
13,91,Dox 12 DMSO 12,(10)DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-07_Out_Channel Alignment-1.czifak:nucleo0,244.142,528.9203333,108.6373333,36.63433333,3286720.857,3377921.18,482301.278,3161674548,3249405071,463951684,3248789.512,3248789.512,3351398.244,3351398.244,473357.2986,473357.2986
