index,label,area,ctcf_fak,ctcf_ku80,ctcf_gh2ax,tto,tto_index
1,(9)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,143.169,922874.0119,14671.51725,107798.3219,ct_dmso,1
2,(9)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo1,257.663,1714376.736,42601.54045,321118.381,ct_dmso,2
3,(10)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,191.752,3587017.721,382223.3036,2411520.725,ct_dmso,3
4,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo0,188.421,3866071.342,234032.309,939396.7858,ct_dmso,4
6,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo0,160.76,3604300.697,258500.8666,1083527.176,ct_dmso,6
7,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo1,150.977,3428053.369,219955.7108,532260.8767,ct_dmso,7
8,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,230.173,5485850.489,282651.6255,1775662.02,ct_dmso,8
9,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo1,207.905,5002701.052,185125.7893,1049702.319,ct_dmso,9
10,(12)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,278.659,1568005.362,397994.6624,3940153.934,ct_dmso,10
11,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo0,182.937,5088143.161,69409.47592,233236.2162,ct_dmso,11
12,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo1,181.946,4387237.741,65073.1274,212215.1948,ct_dmso,12
13,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo2,174.773,3786289.434,49999.87387,192579.241,ct_dmso,13
14,(11)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo3,175.559,4514153.022,60556.19574,465928.308,ct_dmso,14
15,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,197.589,3856697.382,182208.7587,1237098.491,ct_dmso,15
16,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo1,190.954,3963346.729,303141.4156,2034549.074,ct_dmso,16
17,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo0,226.199,2656406.92,60291.57858,847223.2398,ct_dmso,17
18,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo1,211.633,2194723.259,48207.25314,702713.0312,ct_dmso,18
19,(13)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo2,252.217,2493393.38,59495.42178,1383559.794,ct_dmso,19
20,(14)ct-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo0,220.927,1440977.071,57356.46841,2103978.919,ct_dmso,20
