label,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_0(6).tifnucleo_0-roi_0.tiff,2.599,67022.453,30757.229,20350.634,86727.865,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_0(6).tifnucleo_0-roi_1.tiff,2.433,49921.257,33581.841,26658.237,160632.634,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_0.tiff,2.883,60990.843,32400.324,22427.352,64870.387,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_1.tiff,2.339,33093.914,26838.394,19945.921,62112.065,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_2.tiff,4.171,72552.883,55653.885,30931.689,129398.437,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_3.tiff,2.802,39928.241,32086.419,20407.967,94047.517,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_4.tiff,2.687,50686.935,30877.336,22018.249,84534.423,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_5.tiff,4.453,103798.134,56034.436,37256.33,161138.07,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_6.tiff,2.479,38202.586,24198.273,18468.122,68906.304,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-01_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_7.tiff,3.537,54964.061,38135.029,26034.181,119551.16,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_0.tiff,8.558,513926.362,184152.178,165201.882,494997.321,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_1.tiff,5.239,381528.938,121474.153,112034.459,329077.577,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_10.tiff,2.607,136260.246,53189.458,58894.51,170636.526,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_11.tiff,3.087,137375.282,57498.152,57769.24,209099.482,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_12.tiff,4.865,289262.131,94394.302,108857.527,242674.087,doxdmso
