,image,tto,nucleo,nrois,pc_gh2ax_ku80,pc_fak_ku80,pc_gh2ax_fak
0,1,doxdmso,0,2,-1.0,0.9999999999999998,-1.0
1,1,doxdmso,1,8,0.8903683139442075,0.9595189998252693,0.957507029623281
2,2,doxdmso,0,88,0.910313023042677,0.9573785628015523,0.9600562014998832
3,2,doxdmso,1,4,-0.6116496462742367,-0.48642305194889585,0.20193731301458928
4,3,doxdmso,0,11,0.9092440135149636,0.9387036788382782,0.964816745654254
5,3,doxdmso,1,11,0.3394713790706018,0.7793749824285243,0.6395369482678452
6,4,doxdmso,0,7,0.7085607843883599,0.8932622908418975,0.7800745664227313
7,4,doxdmso,1,63,0.5852110579701802,0.8684897304202907,0.6514154596666665
8,5,doxdmso,0,24,0.9069631829527712,0.9748834221428705,0.951894871921743
9,5,doxdmso,1,2,-1.0,-1.0,1.0
10,5,doxdmso,2,40,0.7397550737973055,0.9387349195739297,0.838378687573024
11,6,doxdmso,0,10,0.2641416331743655,0.48996911684374717,0.6156859811528064
12,7,doxdmso,0,16,-0.24270768560372605,0.8239325945492157,0.13628449912586343
13,7,doxdmso,1,7,0.7185473597670746,0.969683667904559,0.8302987536631456
14,7,doxdmso,2,4,0.5521176062145221,0.9398265910211101,0.7892497096878758
15,8,doxdmso,1,30,0.4997374666328076,0.8225794494988898,0.7207053869015551
16,9,doxdmso,0,13,0.18953180445003476,0.8054287066108515,0.5133504564373942
17,9,doxdmso,1,99,0.8564425542299101,0.9393408394638988,0.948466700632553
18,10,doxdmso,0,11,0.02786867588738925,0.5798574936620411,0.024994599773926773
19,10,doxdmso,1,12,0.3671600826489873,0.8490427717019923,0.6995177939433069
20,11,doxdmso,0,16,0.67185045057852,0.856357095497473,0.7291186937301469
21,11,doxdmso,1,24,0.2519787161498122,0.632216966041621,0.7791919609718713
22,11,doxdmso,2,21,0.7492857196710709,0.9054776646187783,0.873564515759328
23,11,doxdmso,3,34,0.7077454483056136,0.8140392285589128,0.8870243403176136
24,11,doxdmso,4,6,-0.6721002222940022,-0.15228893849836123,0.6048400693397931
25,1,doxpf,0,1,nan,nan,nan
26,1,doxpf,1,3,-0.3071448101121616,0.47311406652067023,0.6931015111992473
27,1,doxpf,2,7,0.7898477198872491,0.9802666657727462,0.8743123528202896
28,2,doxpf,0,11,0.530017247718576,0.808162166618053,0.592622344974939
29,2,doxpf,1,9,0.12140904428307671,0.9129613612122344,0.21636708115485812
30,2,doxpf,2,1,nan,nan,nan
31,2,doxpf,4,3,-0.2641914334071078,0.7549519502936589,0.43302857673939704
32,3,doxpf,0,86,0.8649793997555949,0.9528088539850095,0.9444207775026945
33,3,doxpf,1,1,nan,nan,nan
34,3,doxpf,2,14,0.5506858601433547,0.914467556755582,0.6952659472514963
35,3,doxpf,3,40,0.1425389849472862,0.9331405659139684,0.3398487849006633
36,3,doxpf,4,10,0.6067399472369046,0.9453315820480923,0.7246291673954679
37,3,doxpf,5,5,0.40662839117204697,0.9563778337730471,0.6288888425000304
38,4,doxpf,0,12,0.5561812040576112,0.8632154709531557,0.627562436386631
39,4,doxpf,1,14,0.6419223659592812,0.8682678294463421,0.8801217530175527
40,4,doxpf,2,1,nan,nan,nan
41,5,doxpf,0,28,0.7121014649618076,0.9351209118571643,0.845954691386756
42,5,doxpf,1,7,-0.18093593003813074,0.46472215152787844,0.7667685087461663
43,5,doxpf,2,11,0.399987718329725,0.6679826231124129,0.857080597492433
44,6,doxpf,0,5,0.08119679485555482,0.8389579755922598,0.462182217638612
45,6,doxpf,1,13,0.1739399692652634,0.9184843531207972,0.37229687936488537
46,7,doxpf,0,11,0.7782938447476084,0.9352860665888406,0.8814605342937828
47,7,doxpf,1,13,0.61793452472934,0.8333891081890578,0.9154491397502604
48,7,doxpf,2,11,0.4031819401905634,0.8294932410155486,0.7736540311486786
49,7,doxpf,3,2,-1.0,1.0,-1.0
50,8,doxpf,0,23,0.5888045893975137,0.9028248303208171,0.7812567193837022
51,8,doxpf,2,13,0.43841709187431577,0.7775907782656997,0.7406284718980525
52,9,doxpf,0,34,0.41993385814395395,0.8877554031347878,0.7113060118317458
53,9,doxpf,1,15,0.6444422720492404,0.8545871617178749,0.8600094892371968
54,9,doxpf,2,55,0.28150409791935277,0.792254870850884,0.7628124737934763
55,10,doxpf,0,7,-0.14228448450622924,0.8003354545645222,0.12071698731203982
56,10,doxpf,1,16,0.5096197871950037,0.9543938370406231,0.6742471095022243
57,10,doxpf,2,27,0.8466501572015591,0.9611652135120167,0.9183852219755798
58,11,doxpf,0,9,0.4180082757559369,0.7148989176172525,0.8812316026907531
59,11,doxpf,1,14,0.43137047784292054,0.871749947502727,0.6142395551265833
60,12,doxpf,0,1,nan,nan,nan
61,13,doxpf,0,58,0.6348528316198212,0.9379323118997206,0.7736200891612517
62,13,doxpf,1,46,0.881966667688908,0.9798662169724263,0.9374621780993071
63,14,doxpf,0,2,1.0,0.9999999999999998,1.0
64,14,doxpf,1,21,0.8164684074654057,0.9622947794670972,0.892661419590049
65,14,doxpf,2,21,0.20727025915413036,0.7911578418195836,0.6994565586502333
66,15,doxpf,0,4,-0.3830058034050655,0.8553830045180699,0.09524574594907288
67,15,doxpf,1,17,0.47217929830154537,0.8430107898459552,0.7616689369029112
68,15,doxpf,2,23,0.8374310751067816,0.9322568751850479,0.9416835361658487
69,15,doxpf,3,34,0.7197166429016445,0.9488197036449997,0.8551832692972671
70,16,doxpf,0,41,0.6990471045394516,0.9423266516604476,0.8448736035650111
71,16,doxpf,1,27,0.8540091112756342,0.9641611378564527,0.9417931768485183
72,16,doxpf,2,3,0.8492574253896795,0.9503562024374583,0.97138516499743
73,16,doxpf,3,11,0.4642391624300962,0.879260620566661,0.8080643222398586
74,17,doxpf,0,12,0.32900041213806785,0.8240681351777956,0.659456248330298
75,17,doxpf,1,23,0.9497894862170817,0.9737412877730538,0.9530725707550912
76,18,doxpf,0,22,0.6391974377160263,0.8161335071045787,0.7054254831413725
77,18,doxpf,1,26,0.8335929318341444,0.9195663101305684,0.8301466153378027
78,19,doxpf,0,16,0.6568684120456787,0.8770832653916869,0.9216917581558667
79,19,doxpf,1,31,0.8901237067669021,0.9578240960928248,0.9092906363069231
80,19,doxpf,2,3,-0.9757541577880757,-0.6766401923351754,0.8213910619182124
81,19,doxpf,3,4,-0.31859464510752417,0.9506929822713931,-0.15855610509691795
82,20,doxpf,0,8,-0.7055071467288597,0.7084107123234992,-0.15428577439226848
83,20,doxpf,1,20,0.7547733908172304,0.9366222462805825,0.8541500516672769
84,20,doxpf,2,10,0.565292311394325,0.9662718677041789,0.7266706637902351
85,20,doxpf,3,22,-0.17246412100838127,0.8516752699202128,0.30756158170293896
86,21,doxpf,0,4,0.6570729954810626,0.9942169862121317,0.6503130433589484
87,21,doxpf,1,20,0.16236989162047014,0.7011461850353156,0.6040033315054243
88,21,doxpf,2,10,0.6565074515085527,0.9306742691656045,0.6801582553332041
