,label,qualidade,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto,prot,image,nucleo
0,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,5.203,74571.333,4448.756,44759.269,382593.614,ct,ku80,04,0
1,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,3.557,45005.309,2194.241,32518.009,263754.643,ct,ku80,04,0
2,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,3.376,40740.862,2519.643,27088.249,280999.669,ct,ku80,04,0
3,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,2.81,30600.704,1855.057,42245.632,142872.464,ct,ku80,04,0
4,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,3.087,29619.01,3198.588,29926.885,167789.175,ct,ku80,04,0
5,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,4.662,66779.713,3124.962,42220.143,274331.033,ct,ku80,04,1
6,(11)ct-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,4.933,96121.086,4815.527,44335.88,248795.37,ct,ku80,01,0
7,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,3.618,35333.427,4079.16,12934.008,233989.521,ct,ku80,08,0
8,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,3.196,24746.888,4686.669,13643.007,307234.348,ct,ku80,08,0
9,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,3.919,46738.823,5341.057,13000.151,340377.173,ct,ku80,08,0
10,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.345,12715.918,6127.444,5056.698,101717.397,ct,ku80,08,1
11,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_1-roi_1.tiff,,2.495,23184.503,4422.338,9690.283,170612.021,ct,ku80,08,1
12,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_1-roi_2.tiff,,2.391,21793.789,3966.065,9800.356,171310.872,ct,ku80,08,1
13,(11)ct-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czinucleo_2-roi_0.tiff,,2.582,23535.721,6401.895,9924.978,295824.401,ct,ku80,08,2
14,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,4.806,23774.947,2332.526,1989.512,280859.928,ct,ku80,13,0
15,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,2.324,4827.136,1134.852,1146.074,168581.729,ct,ku80,13,0
16,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_10.tiff,,3.327,9387.148,1843.095,1708.614,278683.631,ct,ku80,13,0
17,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_11.tiff,,4.059,10022.212,3163.055,1351.157,205666.082,ct,ku80,13,0
