index novo,tratamento,index novo,label,area,ctcf fak,ctcf ku80,ctcf gammah2ax
1,controle,1,(10)ct-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,254.221,2113989.567,228635.3015,1044423.279
2,controle,2,(10)ct-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo1,245.54,1863580.017,174462.4303,806108.8056
3,controle,3,(14)ct-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,311.406,2693439.941,105570.8128,505895.0451
4,controle,4,(14)ct-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo1,307.358,2437141.715,127907.4037,596451.5766
5,controle,5,(11)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo0,269.757,2425452.328,159673.0911,392226.1097
6,controle,6,(11)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo1,224.119,2138491.293,129643.4807,387670.7378
7,controle,7,(11)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo2,228.507,1895689.413,135002.0541,553743.5737
8,controle,8,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo0,274.973,2280537.516,180491.8486,1122220.509
9,controle,9,(10)ct-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo1,228.523,2233670.414,189162.534,604861.3195
10,controle,10,(14)ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,248.465,2293761.615,105506.1447,474376.8192
11,controle,11,(14)ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo1,217.025,1666440.031,130685.4191,283837.7612
12,controle,12,(15)ct-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,261.082,1347661.378,263134.0047,409661.8845
