,image,tto,nucleo,nrois,pc_gh2ax_ku80,pc_fak_ku80,pc_gh2ax_fak
16,1.0,dox,0,130,0.8276173393886571,0.6606112609146231,0.9039047746910274
17,1.0,dox,1,65,0.811023233825676,0.7259485231370839,0.9314875460754406
9,2.0,dox,0,68,0.9761826268093966,0.9360149375893778,0.9501045995854174
33,5.0,dox,0,18,0.6724733440968448,0.4353058767236971,0.6714802783620908
34,5.0,dox,1,17,0.5076099493101089,0.5142485984313394,0.7829648723698129
30,6.0,dox,1,35,0.8126632323344639,0.7687120124309303,0.9195468879055392
10,7.0,dox,0,13,0.621146797170876,0.23164401897094383,0.7660948603175957
11,7.0,dox,1,7,-0.49770587726923265,-0.5233942073353044,-0.09624122882835283
12,7.0,dox,2,9,0.8487259027025887,0.7062112230892269,0.761939125864581
18,8.0,dox,0,4,0.18790720877958964,0.4293362259369648,0.9673149366621737
19,8.0,dox,1,18,0.8116751290184299,0.5923714704347876,0.8172204933616586
0,9.0,dox,0,51,0.8466173945041249,0.7680992842901366,0.8498151620425451
24,10.0,dox,0,15,0.7730583139908991,0.8456688652503691,0.9497142376422468
25,10.0,dox,1,38,0.7565328065352949,0.7823490346308557,0.9365354508839737
26,10.0,dox,2,3,-0.9153412303780478,-0.012912976784129938,-0.3908257143929378
20,11.0,dox,0,15,0.4126701543791568,-0.17460931447401487,0.5956804746042409
21,11.0,dox,1,51,0.868904119259578,0.8566605691860285,0.9415581297283416
22,11.0,dox,2,7,0.6599370635224796,0.5818899282562248,0.842024593390107
1,12.0,dox,0,9,0.8118335822223739,0.8869454174548597,0.9241149960998066
2,12.0,dox,1,11,0.23602768642842373,-0.16319951592161983,0.706609267079425
35,13.0,dox,0,31,0.6548303787766894,0.28437568733172075,0.552173914383874
3,14.0,dox,0,67,0.937060563545371,0.9368027899080151,0.9574253402995653
4,14.0,dox,1,33,0.9337736042816286,0.924119217246575,0.9541003499562402
27,15.0,dox,0,11,0.48728730782533125,0.06057678183210836,0.6199395548952381
28,15.0,dox,1,22,0.8391557478188908,0.8001560422598316,0.8879536284425255
29,15.0,dox,2,12,0.8258433770581857,0.7220957915121156,0.9442551231744324
5,16.0,dox,0,14,0.5269355040018462,-0.35397307418178153,0.51251737871548
6,16.0,dox,1,8,0.4075527163267203,0.3019970615774328,0.5242690671270293
7,17.0,dox,0,16,0.6955440659664262,0.6896645593218907,0.8560231510385437
8,17.0,dox,1,3,0.5246958629895556,0.9401744366527558,0.7833344840985832
23,18.0,dox,0,86,0.9075028220177273,0.8043831631398313,0.8764622027887353
31,19.0,dox,0,42,0.8706083123401047,0.7975725210483894,0.9326902901739674
32,19.0,dox,1,19,0.6942087754143345,0.6596711373032104,0.9554485286481733
13,20.0,dox,0,96,0.8882895770902762,0.8670640078001262,0.9409883891829708
14,21.0,dox,0,1,nan,nan,nan
15,21.0,dox,1,39,0.9213524694644742,0.8692241209201148,0.955722480558347
36,1.0,dox_dmso,0,23,0.2553002751539874,0.1567269799621104,0.9353189835947611
37,2.0,dox_dmso,1,4,0.08822309144569128,0.23710236239054155,-0.3721396114193302
38,3.0,dox_dmso,0,1,nan,nan,nan
39,3.0,dox_dmso,1,23,0.827353924365679,0.7207477819397603,0.840428758473661
40,3.0,dox_dmso,2,3,0.635285269396317,0.6691696019040213,0.999000544383493
41,4.0,dox_dmso,0,1,nan,nan,nan
42,6.0,dox_dmso,0,24,0.4250399717278374,0.40381948498776915,0.8835096817646582
43,7.0,dox_dmso,0,3,-0.0763521566910075,0.8875385986648566,0.39162296076417313
44,8.0,dox_dmso,1,1,nan,nan,nan
45,9.0,dox_dmso,0,28,0.6475651393338113,0.833507690051157,0.7125384789507251
46,9.0,dox_dmso,1,54,0.8074750623316714,0.8098835351969449,0.8302468412061609
47,10.0,dox_dmso,0,61,0.8539478858442964,0.8679483425311045,0.9073169597043712
48,10.0,dox_dmso,2,17,0.8213904637618162,0.8106760851218414,0.869223736348875
49,11.0,dox_dmso,0,14,0.508822181832926,0.3856044190565759,0.8379923877260068
50,11.0,dox_dmso,1,13,0.96838387156885,0.9747898091017864,0.9811237281530227
51,12.0,dox_dmso,0,14,0.466129805882746,0.8947942520390736,0.7366643222610365
52,13.0,dox_dmso,0,39,0.6929770862804152,0.6522149241617461,0.8292182107441718
53,13.0,dox_dmso,1,70,0.8053563941107383,0.6646876126273511,0.8674596330378416
54,1.0,dox_pf,0,90,0.8542306508306424,0.8238027852940539,0.9359397581779079
55,2.0,dox_pf,0,23,0.8439215640127455,0.8270879259131664,0.9244531608768286
56,2.0,dox_pf,1,27,0.8200227668684561,0.7843671311796826,0.896892904952045
57,3.0,dox_pf,0,46,0.7921900599389037,0.7932560512213405,0.9423523917872224
58,4.0,dox_pf,0,46,0.7363939542613726,0.5790604203409223,0.8315369891836705
59,4.0,dox_pf,1,41,0.6730461014506071,0.5073462146917883,0.822634518465855
60,5.0,dox_pf,0,35,0.8635206375575173,0.8493019461010433,0.9095868277806947
61,6.0,dox_pf,0,50,0.8020680060663141,0.7362611262988581,0.8629792909966814
62,7.0,dox_pf,0,73,0.858751447336481,0.875634548002224,0.9570755820556374
63,8.0,dox_pf,0,24,0.6112899030467877,0.7918889687374467,0.539622973201933
64,8.0,dox_pf,1,21,0.7579636109171359,0.8248297254672934,0.8415393129429906
65,9.0,dox_pf,0,16,0.7994898662416526,0.8018029088412082,0.918461624690575
66,10.0,dox_pf,0,28,0.7676116495547763,0.8126652535837162,0.7899936947557785
67,10.0,dox_pf,1,55,0.8918339727901122,0.8967103167552406,0.9531690642256352
68,11.0,dox_pf,0,44,0.5786250121731514,0.6847502854042553,0.8655043818651811
82,1.0,dox_sc,0,21,0.9675039297141153,nan,nan
83,1.0,dox_sc,1,11,0.9066921191015826,nan,nan
84,1.0,dox_sc,2,18,0.8921387520913597,nan,nan
85,2.0,dox_sc,0,3,0.993082948961484,nan,nan
86,2.0,dox_sc,1,26,0.8382842850715381,nan,nan
69,3.0,dox_sc,0,37,0.7116025695746746,nan,nan
70,3.0,dox_sc,1,29,0.9169771505467172,nan,nan
71,3.0,dox_sc,2,32,0.801762905164561,nan,nan
87,4.0,dox_sc,0,38,0.9088639735951703,nan,nan
88,4.0,dox_sc,1,35,0.9633697275703574,nan,nan
72,5.0,dox_sc,0,23,0.7911661773600608,nan,nan
73,5.0,dox_sc,1,49,0.9054417034451375,nan,nan
79,6.0,dox_sc,0,28,0.8102896010042968,nan,nan
80,6.0,dox_sc,1,2,-1.0,nan,nan
81,6.0,dox_sc,2,28,0.8808463115981694,nan,nan
74,7.0,dox_sc,0,67,0.9568901333929092,nan,nan
75,7.0,dox_sc,1,31,0.8482989315514939,nan,nan
89,8.0,dox_sc,0,27,0.8223540427991036,nan,nan
90,8.0,dox_sc,1,62,0.7883767902965481,nan,nan
102,9.0,dox_sc,0,41,0.9215044162367011,nan,nan
103,9.0,dox_sc,1,48,0.9090343583572051,nan,nan
76,10.0,dox_sc,0,13,0.8807910506648294,nan,nan
77,10.0,dox_sc,1,13,0.5932453941340057,nan,nan
78,10.0,dox_sc,2,55,0.9287846549797707,nan,nan
97,11.0,dox_sc,0,48,0.9260197629242559,nan,nan
91,12.0,dox_sc,0,59,0.9318398014208035,nan,nan
92,12.0,dox_sc,1,26,0.9082303227854468,nan,nan
98,13.0,dox_sc,0,52,0.9056997706900771,nan,nan
99,13.0,dox_sc,1,42,0.9089014711517505,nan,nan
93,14.0,dox_sc,0,25,0.9508407981416819,nan,nan
94,14.0,dox_sc,1,16,0.922324269263169,nan,nan
95,14.0,dox_sc,2,31,0.9109071233936221,nan,nan
96,14.0,dox_sc,3,28,0.8127967098125544,nan,nan
100,15.0,dox_sc,0,35,0.9042265461774419,nan,nan
101,15.0,dox_sc,1,66,0.9412621728175168,nan,nan
129,1.0,dox_sifak,0,5,0.7301520079850113,nan,nan
130,1.0,dox_sifak,1,63,0.9092550798074904,nan,nan
125,2.0,dox_sifak,0,9,0.17908978866684144,nan,nan
126,2.0,dox_sifak,1,41,0.8471638155569349,nan,nan
135,3.0,dox_sifak,0,25,0.8181333420795643,nan,nan
136,3.0,dox_sifak,1,43,0.6912529980622633,nan,nan
137,4.0,dox_sifak,0,34,0.9091791172506114,nan,nan
138,4.0,dox_sifak,1,32,0.7416433480612005,nan,nan
116,5.0,dox_sifak,0,24,0.8667604799244532,nan,nan
131,6.0,dox_sifak,0,25,0.9537739114320182,nan,nan
132,6.0,dox_sifak,1,3,0.979272316954594,nan,nan
104,7.0,dox_sifak,0,57,0.8887703987865109,nan,nan
105,7.0,dox_sifak,1,32,0.8188475974431785,nan,nan
127,8.0,dox_sifak,0,48,0.9327231301230082,nan,nan
128,8.0,dox_sifak,1,4,0.8763258383810464,nan,nan
117,9.0,dox_sifak,0,37,0.9286922720048457,nan,nan
118,9.0,dox_sifak,1,19,0.8306649058126626,nan,nan
106,10.0,dox_sifak,0,33,0.9326437760582869,nan,nan
107,10.0,dox_sifak,1,20,0.7646206845165151,nan,nan
108,10.0,dox_sifak,3,1,nan,nan,nan
109,10.0,dox_sifak,4,4,0.9284946515947027,nan,nan
110,11.0,dox_sifak,0,9,0.14666201069199628,nan,nan
111,11.0,dox_sifak,1,12,0.8827307576016656,nan,nan
112,11.0,dox_sifak,2,11,0.920467510705412,nan,nan
119,12.0,dox_sifak,0,6,0.8023060453316789,nan,nan
120,12.0,dox_sifak,1,20,0.5033280487161637,nan,nan
121,12.0,dox_sifak,2,17,0.7404282805930055,nan,nan
113,13.0,dox_sifak,0,55,0.8853206141108257,nan,nan
114,13.0,dox_sifak,1,46,0.9378420942819047,nan,nan
115,13.0,dox_sifak,2,10,0.8244671423178473,nan,nan
122,14.0,dox_sifak,0,57,0.9373429452361972,nan,nan
123,14.0,dox_sifak,1,59,0.8859224444045658,nan,nan
124,14.0,dox_sifak,2,3,-0.9986138029906589,nan,nan
133,15.0,dox_sifak,0,42,0.8289040103739173,nan,nan
134,15.0,dox_sifak,1,28,0.8672808950430698,nan,nan
139,16.0,dox_sifak,0,52,0.9412105445616521,nan,nan
140,16.0,dox_sifak,1,25,0.9299953788616173,nan,nan
141,17.0,dox_sifak,0,19,0.6872116244256764,nan,nan
142,17.0,dox_sifak,1,25,0.46980691024543897,nan,nan
143,17.0,dox_sifak,2,18,0.7129414496295505,nan,nan
144,17.0,dox_sifak,3,38,0.908903504831561,nan,nan
