,prot,tto,nucleo,nrois,pc_gh2ax_ku80,pc_fak_ku80,pc_gh2ax_fak
0,ku80,dox,0,130,0.827617339,0.660611261,0.903904775
1,ku80,dox,1,65,0.811023234,0.725948523,0.931487546
2,ku80,dox,0,68,0.976182627,0.936014938,0.9501046
3,ku80,dox,0,18,0.672473344,0.435305877,0.671480278
4,ku80,dox,1,17,0.507609949,0.514248598,0.782964872
5,ku80,dox,0,13,0.621146797,0.231644019,0.76609486
6,ku80,dox,1,7,-0.497705877,-0.523394207,-0.096241229
7,ku80,dox,2,9,0.848725903,0.706211223,0.761939126
8,ku80,dox,0,4,0.187907209,0.429336226,0.967314937
9,ku80,dox,1,18,0.811675129,0.59237147,0.817220493
10,ku80,dox,0,51,0.846617395,0.768099284,0.849815162
11,ku80,dox,0,15,0.773058314,0.845668865,0.949714238
12,ku80,dox,1,38,0.756532807,0.782349035,0.936535451
13,ku80,dox,2,3,-0.91534123,-0.012912977,-0.390825714
14,ku80,dox,0,15,0.412670154,-0.174609314,0.595680475
15,ku80,dox,1,51,0.868904119,0.856660569,0.94155813
16,ku80,dox,2,7,0.659937064,0.581889928,0.842024593
17,ku80,dox,0,9,0.811833582,0.886945417,0.924114996
18,ku80,dox,1,11,0.236027686,-0.163199516,0.706609267
19,ku80,dox,0,31,0.654830379,0.284375687,0.552173914
20,ku80,dox,0,67,0.937060564,0.93680279,0.95742534
21,ku80,dox,1,33,0.933773604,0.924119217,0.95410035
22,ku80,dox,0,11,0.487287308,0.060576782,0.619939555
23,ku80,dox,1,22,0.839155748,0.800156042,0.887953628
24,ku80,dox,2,12,0.825843377,0.722095792,0.944255123
25,ku80,dox,0,14,0.526935504,-0.353973074,0.512517379
26,ku80,dox,1,8,0.407552716,0.301997062,0.524269067
27,ku80,dox,0,16,0.695544066,0.689664559,0.856023151
28,ku80,dox,1,3,0.524695863,0.940174437,0.783334484
29,ku80,dox_sc,0,21,0.96750393,nan,nan
30,ku80,dox_sc,1,11,0.906692119,nan,nan
31,ku80,dox_sc,2,18,0.892138752,nan,nan
32,ku80,dox_sc,0,3,0.993082949,nan,nan
33,ku80,dox_sc,1,26,0.838284285,nan,nan
34,ku80,dox_sc,0,37,0.71160257,nan,nan
35,ku80,dox_sc,1,29,0.916977151,nan,nan
36,ku80,dox_sc,2,32,0.801762905,nan,nan
37,ku80,dox_sc,0,38,0.908863974,nan,nan
38,ku80,dox_sc,1,35,0.963369728,nan,nan
