,Label,qualidade,tto,Area,Mean,id_fak,id_gh2ax,mean_bc_fak,mean_bc_gh2ax,ctcf_fak,ctcf_gh2ax,data
1,(11)controle 1 - dapi - pfak - gamma - 1_Out-1.czifak:nucleo0,bom,ct,296.224,3666.903,1086225.186,214406.768,1782.849333,369.9683333,558102.4251,104813.2684,2020_06_09
9,(11)controle 1 - dapi - pfak - gamma - 2_Out-1.czifak:nucleo0,ruim,ct,489.45,3490.312,1708331.587,637936.361,1383.368,490.2873333,1031242.119,397965.2257,2020_06_10
17,(12)controle 1 - dapi - pfak - gamma - 3_Out-1.czifak:nucleo0,bom,ct,326.406,504.48,164665.674,700960.725,224.101,639.0583333,91517.76299,492368.2507,2020_06_11
25,(9)controle 2 - dapi - pfak - gamma - 1_Out-1.czifak:nucleo0,bom,ct,290.893,2536.544,737863.661,766272.565,462.6216667,639.0926667,603290.2565,580364.9819,2020_06_12
33,(12)controle 2 - dapi - pfak - gamma - 2_Out-1.czifak:nucleo0,bom,ct,263.215,2084.512,548675.455,432996.276,427.949,310.31,436032.859,351318.0294,2020_06_13
41,(13)controle 2 - dapi - pfak - gamma - 3_Out-1.czifak:nucleo0,bom,ct,242.037,1556.367,376697.723,389485.595,284.0963333,283.9233333,307935.8988,320765.6432,2020_06_14
49,(9)controle 2 - dapi - pfak - gamma - 4_Out-1.czifak:nucleo0,bom,ct,204.535,2770.307,566623.947,340165.943,432.9833333,303.8026667,478063.7009,278027.6646,2020_06_15
57,(6)controle 2 - dapi - pfak - gamma - 5_Out-1.czifak:nucleo0,bom,ct,154.83,2950.264,456788.236,701419.471,557.525,960.8386667,370466.6403,552652.8202,2020_06_16
65,(10)controle 2 - dapi - pfak - gamma - 6_Out-1.czifak:nucleo0,bom,ct,248.38,2466.316,612583.159,597552.032,441.443,372.781,502937.5467,504960.6872,2020_06_17
73,(7)doxo 1 - dapi - pfak - gamma - 1_Out-1.czifak:nucleo0,bom,dox,543.862,5753.003,3128838.264,3335693.696,865.8383333,720.3743333,2657941.696,2943909.47,2020_06_18
81,(9)doxo 1 - dapi - pfak - gamma - 2_Out-1.czifak:nucleo0,bom,dox,303.235,3157.057,957329.591,2330667.935,329.024,755.69,857557.9984,2101516.278,2020_06_19
89,(11)doxo 1 - dapi - pfak - gamma - 3_Out-1.czifak:nucleo0,ruim,dox,208.466,5047.666,1052268.203,908247.695,543.0053333,293.1593333,939070.0532,847133.9414,2020_06_20
97,(10)doxo 1 - dapi - pfak - gamma - 4_Out-1.czifak:nucleo0,bom,dox,243.288,5399.093,1313535.295,1075452.048,721.6903333,826.3083333,1137956.697,874421.1462,2020_06_21
105,(9)doxo 1 - dapi - pfak - gamma - 5_Out-1.czifak:nucleo0,bom,dox,246.661,8654.259,2134672.202,2847090.592,856.02,1210.558667,1923525.453,2548492.981,2020_06_22
113,(12)doxo 2 - dapi - pfak - gamma - 1_Out-1.czifak:nucleo0,bom,dox,279.65,4577.991,1280233.029,2470495.969,473.5626667,419.1883333,1147801.229,2353269.952,2020_06_23
121,(8)doxo 2 - dapi - pfak - gamma - 2_Out-1.czifak:nucleo0,bom,dox,469.423,4468.981,2097840.797,7300108.312,635.777,1580.289333,1799392.45,6558284.152,2020_06_24
129,(11)doxo 2 - dapi - pfak - gamma - 3_Out-1.czifak:nucleo0,bom,dox,486.518,4108.073,1998651.323,7432691.332,525.0426667,1293.718333,1743208.615,6803274.076,2020_06_25
137,(12)doxo 2 - dapi - pfak - gamma - 4_Out-1.czifak:nucleo0,bom,dox,214.29,3448.029,738877.546,2209175.779,548.7363333,1054.430333,621288.8371,1983221.903,2020_06_26
138,(12)doxo 2 - dapi - pfak - gamma - 4_Out-1.czifak:nucleo1,bom,dox,200.623,3183.214,638625.621,1500228.96,548.7363333,1054.430333,528536.4916,1288685.983,2020_06_27
147,(12)doxo 2 - dapi - pfak - gamma - 5_Out-1.czifak:nucleo0,bom,dox,181.5,4295.671,779665.785,1142939.313,584.1133333,813.4786667,673649.215,995292.935,2020_06_28
155,(12)doxo 3 - dapi - pfak - gamma - 2_Out-1.czifak:nucleo0,bom,dox,459.05,3883.501,1782721.035,2325757.615,578.1466667,592.9773333,1517322.808,2053551.37,2020_06_29
163,(10)doxo 3 - dapi - pfak - gamma - 3_Out-1.czifak:nucleo0,bom,dox,335.132,4242.55,1421816.035,1206122.612,573.465,336.151,1229629.563,1093467.655,2020_06_30
