n,tto n,tto,Label,Area,Mean,IntDen ku80,IntDengh2ax,Md Mean ku80,Md Mean gh2ax,CTCF ku80,CTCF gh2ax
1,1,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0001-0589,139.598,3189.763,445285.041,819736.187,600.5406667,100.767,361450.765,805669.3153
2,2,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0002-0732,94.143,3177.911,299177.284,651540.567,600.5406667,100.767,242640.584,642054.0593
3,3,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0003-2093,139.271,2614.785,364162.838,511277.406,600.5406667,100.767,280524.9388,497243.4851
4,4,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0001-0550,128.381,2423.097,311080.528,206652.167,414.9886667,35.153,257803.868,202139.1897
5,5,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0002-0631,182.254,1970.033,359046.428,268825.764,414.9886667,35.153,283413.0835,262418.9891
6,6,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0003-1556,102.78,1906.208,195920.818,111427.407,414.9886667,35.153,153268.2828,107814.3817
7,7,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0004-2047,125.173,1937.019,242463.15,131123.973,414.9886667,35.153,190517.7736,126723.7665
8,8,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0001-0733,148.188,2117.22,313746.495,148033.947,460.1606667,58.44566667,245556.2061,139373.0005
9,9,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0002-1215,150.968,1906.75,287857.694,125773.922,460.1606667,58.44566667,218388.1585,116950.4966
10,10,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0003-1214,111.411,2160.199,240669.309,72550.043,460.1606667,58.44566667,189402.349,66038.55283
11,11,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0004-2100,137.448,1875.623,257801.328,118469.359,460.1606667,58.44566667,194553.1647,110436.119
12,12,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0001-0442,95.771,2611.896,250143.053,341013.272,559.413,236.04,196567.5106,318407.4852
13,13,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0002-1713,95.434,2322.411,221636.683,240928.769,559.413,236.04,168249.6628,218402.5276
14,14,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0003-1815,79.495,2001.352,159098.47,210366.179,559.413,236.04,114627.9336,191602.1792
15,15,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0004-1963,85.369,2103.732,179593.377,255896.417,559.413,236.04,131836.8486,235745.9182
16,16,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0001-0309,124.73,1537.445,191766.32,468197.263,356.733,127.139,147271.0129,452339.2155
17,17,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0002-0241,123.169,1363.667,167961.603,447782.501,356.733,127.139,124023.1561,432122.9175
18,18,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0003-1065,137.796,1446.485,199319.218,453046.365,356.733,127.139,150162.8375,435527.1194
19,19,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0004-1055,119.768,2077.503,248817.636,420937.857,356.733,127.139,206092.4381,405710.6732
20,20,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0005-1152,120.74,1913.217,231001.14,834044.222,356.733,127.139,187929.1976,818693.4591
21,21,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0006-2158,103.533,1671.719,173078.066,185541.401,356.733,127.139,136144.4283,172378.3189
22,22,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0001-0918,158.218,1867.687,295500.849,140453.847,308.3343333,72.84633333,246716.8074,128928.2458
23,23,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0002-1064,110.599,2084.21,230511.163,130689.892,308.3343333,72.84633333,196409.6941,122633.1604
24,24,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0003-1441,115.518,1641.335,189603.681,125106.084,308.3343333,72.84633333,153985.5155,116691.0213
25,25,ct_scramble,(15)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0004-1538,77.976,1648.308,128527.879,67604.021,308.3343333,72.84633333,104485.201,61923.75531
26,26,ct_scramble,(16)CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0001-0410,111.388,4842.89,539439.114,213033.639,1217.303,61.38533333,403846.1674,206196.0495
27,27,ct_scramble,(16)CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0002-0970,96.311,4682.756,451002.096,196297.941,1217.303,61.38533333,333762.4268,190385.8582
28,28,ct_scramble,(16)CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0003-1979,201.728,3730.329,752511.566,593806.194,1217.303,61.38533333,506947.4664,581423.0535
29,29,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0001-0495,152.163,1391.628,211754.568,761798.604,327.4436667,155.9776667,161929.7573,738064.5743
30,30,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0002-1352,126.456,1262.963,159709.485,424994.932,327.4436667,155.9776667,118302.2687,405270.6202
31,31,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0003-1958,122.081,1101.12,134425.428,328206.537,327.4436667,155.9776667,94450.77773,309164.6275
32,32,ct_scramble,(12)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0004-1930,82.945,1183.476,98163.078,345813.25,327.4436667,155.9776667,71003.26307,332875.6824
33,33,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0001-0326,114.353,1307.393,149503.888,112150.372,273.841,26.51433333,118189.3481,109118.3784
34,34,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0002-1637,136.317,1507.638,205517.199,108305.824,273.841,26.51433333,168188.0154,104691.4696
35,35,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0003-1946,150.432,1192.835,179440.917,108287.552,273.841,26.51433333,138246.4677,104298.9478
36,36,ct_scramble,(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0004-2109,171.501,1335.524,229043.508,79586.386,273.841,26.51433333,182079.5027,75039.15132
37,37,ct_scramble,(14)CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0001-0436,164.608,1367.169,225046.406,924822.477,324.3536667,199.4583333,171655.1976,891990.0397
