Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,5,1.367,0.273,0.71,255,69.717,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,3,1.267,0.422,0.927,255,107.713,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,3,0.664,0.221,0.358,255,56.463,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,4,1.107,0.277,0.612,255,70.579,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,3,0.943,0.314,0.367,255,80.144,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,3,0.766,0.255,0.546,255,65.123,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,6,1.286,0.214,0.721,255,54.652,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,5,1.377,0.275,0.671,255,70.248,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,5,1.139,0.228,0.57,255,58.107,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,2,0.406,0.203,0.282,255,51.824,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_3(15).tifnucleo_0,1,0.151,0.151,0.083,255,38.437,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,3,0.765,0.255,0.569,255,65.034,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(8).tifnucleo_0,3,0.688,0.229,0.534,255,58.496,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,2,0.505,0.253,0.302,255,64.416,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,4,0.852,0.213,0.509,255,54.343,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_2(20).tifnucleo_0,3,0.721,0.24,0.388,255,61.323,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_3(14).tifnucleo_0,2,0.455,0.228,0.265,255,58.054,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_4(12).tifnucleo_0,3,0.913,0.304,0.574,255,77.582,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_5(12).tifnucleo_0,2,0.408,0.204,0.293,255,51.957,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,6,1.289,0.215,0.6,255,54.784,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,2,0.346,0.173,0.215,255,44.137,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,3,0.681,0.227,0.43,255,57.877,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(18).tifnucleo_0,3,0.499,0.166,0.34,255,42.414,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(16).tifnucleo_0,2,0.42,0.21,0.329,255,53.547,ct_scramble
