,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
0,SUM_(10)CT-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.479,32.931,0.000811,81.646,2.892,78540,1.178,0.849,sict,CT-scramble,04,0,0
1,SUM_(11)CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,3.618,28.504,0.000816,103.118,4.072,99195,1.034,0.967,sict,CT-scramble,12,2,0
2,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.649,25.02,0.000816,66.271,5.301,63750,1.061,0.942,sict,CT-scramble,06,0,0
3,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.545,33.958,0.000816,86.418,2.663,83130,1.062,0.941,sict,CT-scramble,06,0,1
4,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_0-roi_2-1.tiff,2.821,23.959,0.000804,67.597,5.747,65025,1.283,0.78,sict,CT-scramble,06,0,2
5,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.492,11.17,0.000815,27.834,17.874,26775,1.085,0.922,sict,CT-scramble,06,1,0
6,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,2.443,22.896,0.000816,55.933,6.236,53805,1.064,0.94,sict,CT-scramble,06,1,1
7,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,3.087,15.798,0.000816,48.776,11.207,46920,1.019,0.982,sict,CT-scramble,06,2,0
8,SUM_(12)CT-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.704,16.176,0.000817,43.739,10.831,42075,1.0,1.0,sict,CT-scramble,06,2,1
9,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.678,24.352,0.000809,65.211,5.577,62730,1.217,0.821,sict,CT-scramble,02,0,0
10,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.424,25.369,0.000809,61.5,5.162,59160,1.205,0.83,sict,CT-scramble,02,0,1
11,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,3.864,36.154,0.000816,139.7,2.218,134385,1.068,0.937,sict,CT-scramble,02,1,0
12,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,2.496,20.923,0.000817,52.222,7.277,50235,1.0,1.0,sict,CT-scramble,02,2,0
13,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,4.99,33.947,0.000811,169.39,2.665,162945,1.172,0.853,sict,CT-scramble,09,1,0
14,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,2.296,37.863,0.000817,86.948,1.909,83640,1.0,1.0,sict,CT-scramble,09,2,0
15,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.751,24.093,0.000815,66.271,5.688,63750,1.102,0.907,sict,CT-scramble,09,2,1
16,SUM_(13)CT-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.81,25.472,0.000816,71.573,5.122,68850,1.039,0.962,sict,CT-scramble,09,3,0
17,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.445,13.552,0.000816,33.136,13.872,31875,1.021,0.98,sict,CT-scramble,08,0,0
18,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.235,21.467,0.000812,47.98,6.97,46155,1.163,0.86,sict,CT-scramble,08,0,1
19,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_2-1.tiff,2.651,23.4,0.000816,62.03,5.998,59670,1.02,0.98,sict,CT-scramble,08,0,2
20,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_0-roi_3-1.tiff,2.394,16.055,0.000816,38.437,10.95,36975,1.043,0.959,sict,CT-scramble,08,0,3
21,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.62,29.952,0.000791,78.465,3.647,75480,1.429,0.7,sict,CT-scramble,08,1,0
22,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,3.545,17.199,0.000814,60.97,9.898,58650,1.127,0.887,sict,CT-scramble,08,2,0
23,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,4.341,27.051,0.000807,117.433,4.545,112965,1.241,0.806,sict,CT-scramble,08,2,1
24,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.703,21.969,0.000816,59.379,6.701,57120,1.04,0.962,sict,CT-scramble,08,3,0
25,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,4.318,32.167,0.000815,138.905,3.072,133620,1.081,0.925,sict,CT-scramble,13,0,0
26,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.394,17.495,0.000816,41.883,9.65,40290,1.043,0.959,sict,CT-scramble,13,0,1
27,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,3.615,22.075,0.000816,79.791,6.646,76755,1.07,0.934,sict,CT-scramble,13,1,0
28,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,2.573,12.879,0.000808,33.136,14.853,31875,1.222,0.818,sict,CT-scramble,13,1,1
29,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_2-1.tiff,3.14,23.719,0.000815,74.489,5.853,71655,1.075,0.93,sict,CT-scramble,13,1,2
30,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,3.674,34.707,0.000815,127.506,2.505,122655,1.088,0.919,sict,CT-scramble,13,2,0
31,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.345,31.084,0.000816,72.898,3.342,70125,1.021,0.979,sict,CT-scramble,13,2,1
32,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_2-1.tiff,2.994,16.911,0.000806,50.631,10.15,48705,1.25,0.8,sict,CT-scramble,13,2,2
33,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_3-1.tiff,2.844,18.734,0.000811,53.282,8.691,51255,1.188,0.842,sict,CT-scramble,13,2,3
34,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_4-1.tiff,2.292,12.952,0.000815,29.69,14.741,28560,1.089,0.918,sict,CT-scramble,13,2,4
35,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_5-1.tiff,2.395,12.617,0.000817,30.22,15.263,29070,1.0,1.0,sict,CT-scramble,13,2,5
36,SUM_(14)CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.916,23.909,0.000815,69.717,5.769,67065,1.078,0.927,sict,CT-scramble,13,3,0
37,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.548,23.097,0.000801,58.849,6.14,56610,1.326,0.754,sict,CT-scramble,05,0,0
38,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.863,24.167,0.000816,69.187,5.656,66555,1.059,0.944,sict,CT-scramble,05,1,0
39,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,2.757,23.75,0.000816,65.476,5.84,62985,1.02,0.981,sict,CT-scramble,05,4,0
40,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.czinucleo_4-roi_1-1.tiff,7.928,25.48,0.000813,201.995,5.119,194310,1.134,0.882,sict,CT-scramble,05,4,1
41,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.czinucleo_4-roi_2-1.tiff,2.666,21.474,0.000805,57.258,6.967,55080,1.267,0.789,sict,CT-scramble,05,4,2
42,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.439,23.913,0.000814,58.319,5.767,56100,1.109,0.902,sict,CT-scramble,10,0,0
43,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.599,26.214,0.000817,68.127,4.842,65535,1.0,1.0,sict,CT-scramble,10,0,1
44,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,3.868,24.602,0.000817,95.166,5.472,91545,1.0,1.0,sict,CT-scramble,10,3,0
45,SUM_(15)CT-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,3.497,29.108,0.000817,101.793,3.889,97920,1.0,1.0,sict,CT-scramble,10,4,0
